,Region,Illiterate,Risk-of-poverty,cluster_communities
0,Andalucia,2.37,32.3,0
1,Aragon,0.67,15.8,1
2,Asturias,0.57,20.4,1
3,Baleares,1.29,17.6,1
4,Canarias,1.81,28.4,0
5,Cantabria,0.24,15.4,1
6,Castilla-Leon,0.51,17.9,1
7,Castilla-La Mancha,1.57,27.4,0
8,Cataluña,1.18,14.8,1
9,Valencia,1.29,25.1,0
10,Extremadura,2.21,32.3,0
11,Galicia,0.77,20.2,1
12,Madrid,0.63,15.2,1
13,Murcia,2.39,27.7,0
14,Navarra,0.74,9.8,1
15,Pais Vasco,0.47,12.2,1
16,La Rioja,0.92,16.1,1
17,Ceuta,1.66,32.3,0
18,Melilla,2.58,30.1,0
