,City,Lat,Long,region_clusters
0,"Toledo, Castile–La Mancha, Spain",39.856667,-4.024444,14
1,"Palencia, Tierra de Campos, Spain",42.016666,-4.533333,12
2,"Lugo, Galicia, Spain",43.016666,-7.55,2
3,"Guadalajara, Castilla–La Mancha, Spain",40.633713,-3.167394,14
4,"Manresa, Catalonia, Spain",41.729443,1.827222,6
5,"Benidorm, Alicante, Spain",38.534168,-0.131389,4
6,"Gandia, Valencia, Spain",38.966667,-0.183333,4
7,"Ourense, Galicia, Spain",42.336388,-7.863333,10
8,"Badajoz, Extermadura, Spain",38.88028,-6.975278,15
9,"Santander, Cantabria, Spain",43.462776,-3.805,8
10,"Ferrol, Galicia, Spain",43.466667,-8.25,2
11,"Logroño, La Rioja, Spain",42.465,-2.445556,0
12,"Leon, Leon Province, Spain",42.605556,-5.57,12
13,"Jerez de la Frontera, Cadiz Province, Spain",36.681667,-6.137778,7
14,"Salamanca, Salamanca Province, Spain",40.961613,-5.667607,12
15,"Almería, Andalusia, Spain",36.838139,-2.45974,13
16,"Huelva, Huevla Province, Spain",37.25,-6.95,7
17,"Vitoria-Gasteiz, Alava, Spain",42.849998,-2.683333,0
18,"Torrelavega, Cantabria, Spain",43.353058,-4.045833,8
19,"Pamplona, Navarre, Spain",42.816666,-1.65,0
20,"Tarragona, Costa Daurada, Spain",41.115696,1.249594,6
21,"Valladolid, Castile and Leon, Spain",41.652779,-4.723611,12
22,"Cádiz, Cádiz Province, Spain",36.533333,-6.283333,7
23,"Cartagena, Murcia, Spain",37.599998,-0.983333,11
24,"Vigo, Galicia, Spain",42.231358,-8.712447,10
25,"Granada, Andalusia, Spain",37.178055,-3.600833,1
26,"Orihuela, Alicante, Spain",38.085556,-0.946944,11
27,"Las Palmas, the Canary Islands, Spain",28.15,-15.416667,3
28,"Málaga, Spain",36.719444,-4.42,1
29,"Valencia, Valencia Province, Spain",39.466667,-0.375,4
30,"Marbella, Malaga, Spain",36.516666,-4.883333,1
31,"Palma de Mallorca, the Balearic Islands, Spain",39.571625,2.650544,9
32,"Zaragoza, Spain",41.649693,-0.887712,0
33,"Jaén, Andalusia, Spain",37.783642,-3.783768,1
34,"Burgos, Burgod Province, Spain",42.350388,-3.707206,8
35,"Albacete, Castilla–La Mancha, Spain",38.988266,-1.861976,16
36,"Torrent, Valencia, Spain",39.432236,-0.472373,4
37,"Castellón de la Plana, Castellón, Spain",39.978569,-0.055444,4
38,"Elche, Alicante, Spain",38.269932,-0.712561,11
39,"Melilla, Spain",35.292522,-2.936471,13
40,"A Coruña, Galicia, Spain",43.362343,-8.41154,2
41,"Mérida, Extremadura, Spain",38.919144,-6.340805,15
42,"San Sebastián, Gipuzkoa, Spain",43.312691,-1.993332,0
43,"Madrid, Spain",40.416775,-3.70379,14
44,"Santiago de Compostela, A Coruña, Spain",42.878212,-8.544844,10
45,"Bilbao, Biscay, Spain",43.262985,-2.935013,8
46,"Coslada, Madrid, Spain",40.426044,-3.565165,14
47,"Segovia, Segovia Province, Spain",40.942902,-4.108807,5
48,"Alcalá de Guadaira, Sevilla, Spain",37.339676,-5.841805,7
49,"A Coruña, A Coruña, Spain",43.362343,-8.41154,2
50,"Getafe, Madrid, Spain",40.304665,-3.723679,14
51,"Pontevedra, Pontevedra, Spain",42.429886,-8.64462,10
52,"Cuenca, Cuenca, Spain",40.070393,-2.137416,16
53,"Alcorcon, Madrid, Madrid Province, Spain",40.345131,-3.835258,14
54,"Girona, Girona, Spain",41.979401,2.821426,6
55,"Seville, Andalusia, Spain",37.392529,-5.994072,7
56,"Las Rozas, Madrid, Spain",40.498138,-3.882294,14
57,"Mataro, Barcelona, Spain",41.538113,2.444741,6
58,"Barcelona, Catalonia, Spain",41.390205,2.154007,6
